;pt;ba;f1;fm;bm;mk
water;0.280558109;0.769794721;0.7;0.703526471;0.539589442;0.60130719
forest;0.268546633;0.843864469;0.815789474;0.816072096;0.687728938;0.699906804
urban;0.265515653;0.91576087;0.814814815;0.823906475;0.831521739;0.694052419
