;acc;ppv;tpr;tnr;npv;fnr;fpr;fdr;foRate;ts;mcc
water;0.810526316;0.777777778;0.636363636;0.903225806;0.823529412;0.363636364;0.096774194;0.222222222;0.176470588;0.538461538;0.569613037
forest;0.852631579;0.837837838;0.794871795;0.892857143;0.862068966;0.205128205;0.107142857;0.162162162;0.137931034;0.688888889;0.693791152
urban;0.894736842;0.709677419;0.956521739;0.875;0.984375;0.043478261;0.125;0.290322581;0.015625;0.6875;0.759683931
