Value
acc,0.8694
fdr,0.3809
fnr,0.3587
foRate,0.0894
fpr,0.0868
mcc,0.5415
npv,0.9106
ppv,0.6191
tnr,0.9132
tpr,0.6413
ts,0.4634
ba,0.7773
bm,0.5545
f1,0.6279
fm,0.6291
mk,0.5297
pt,0.2618
